country,Total_vaccin,Nombre_vaccin_utilisé,Date
Ukraine,29921638,5,2022-01-24
"United States",534838455,3,2022-01-24
Uruguay,5539356,3,2022-01-24
Argentina,86976496,6,2022-01-25
Chile,33899923,4,2022-01-25
Czechia,16877214,4,2022-01-25
Ecuador,29706656,4,2022-01-25
"European Union",792514785,9,2022-01-25
France,135295226,4,2022-01-25
Germany,163429668,5,2022-01-25
"Hong Kong",10884530,2,2022-01-25
Iceland,50647,4,2022-01-25
Italy,113350686,3,2022-01-25
Latvia,2496233,3,2022-01-25
Peru,55447389,3,2022-01-25
Romania,15473175,3,2022-01-25
"South Korea",112743987,5,2022-01-25
Switzerland,15161375,3,2022-01-25
Ukraine,30003374,5,2022-01-25
"United States",535878161,3,2022-01-25
Uruguay,5548277,3,2022-01-25
Argentina,87317607,6,2022-01-26
Chile,33925906,4,2022-01-26
Czechia,16916786,4,2022-01-26
Ecuador,29773279,4,2022-01-26
"European Union",793889383,9,2022-01-26
France,135570273,4,2022-01-26
Germany,163931621,5,2022-01-26
"Hong Kong",10932006,2,2022-01-26
Iceland,53512,4,2022-01-26
Italy,113882523,3,2022-01-26
Latvia,2503549,3,2022-01-26
Peru,55627994,3,2022-01-26
Romania,15492048,3,2022-01-26
"South Korea",113033747,5,2022-01-26
Switzerland,15195082,3,2022-01-26
Ukraine,30085734,5,2022-01-26
"United States",536700545,3,2022-01-26
Uruguay,5559708,3,2022-01-26
Argentina,87666580,6,2022-01-27
Chile,33949872,4,2022-01-27
Czechia,16956637,4,2022-01-27
Ecuador,29840071,4,2022-01-27
"European Union",795250649,9,2022-01-27
France,135837780,4,2022-01-27
Germany,164439677,5,2022-01-27
"Hong Kong",10981440,2,2022-01-27
Iceland,56314,4,2022-01-27
Italy,114401611,3,2022-01-27
Latvia,2510109,3,2022-01-27
Peru,55820344,3,2022-01-27
Romania,15512252,3,2022-01-27
"South Korea",113384231,5,2022-01-27
Switzerland,15226125,3,2022-01-27
Ukraine,30166832,5,2022-01-27
"United States",535899920,3,2022-01-27
Uruguay,5570465,3,2022-01-27
Argentina,88011114,6,2022-01-28
Austria,17627847,5,2022-01-28
Belgium,24155576,5,2022-01-28
Bulgaria,4156110,4,2022-01-28
Chile,33969811,4,2022-01-28
Croatia,5091686,4,2022-01-28
Cyprus,1605235,4,2022-01-28
Czechia,17013130,4,2022-01-28
Denmark,12061189,4,2022-01-28
Ecuador,29911659,4,2022-01-28
Estonia,1987894,4,2022-01-28
"European Union",801834814,9,2022-01-28
Finland,11273619,4,2022-01-28
France,136221359,4,2022-01-28
Germany,164875170,5,2022-01-28
"Hong Kong",11034412,2,2022-01-28
Hungary,13977176,5,2022-01-28
Iceland,58237,4,2022-01-28
Ireland,10356080,4,2022-01-28
Italy,114935107,3,2022-01-28
Latvia,2780767,4,2022-01-28
Liechtenstein,68912,3,2022-01-28
Lithuania,4399082,4,2022-01-28
Luxembourg,1116563,4,2022-01-28
Malta,1177575,4,2022-01-28
Netherlands,33418626,5,2022-01-28
Norway,10995598,4,2022-01-28
Peru,56016298,3,2022-01-28
Poland,48529476,5,2022-01-28
Portugal,20789235,6,2022-01-28
Romania,15535385,3,2022-01-28
Slovakia,6668003,4,2022-01-28
Slovenia,2885220,4,2022-01-28
"South Korea",113940428,5,2022-01-28
Spain,95988622,4,2022-01-28
Sweden,18348855,4,2022-01-28
Switzerland,15262765,3,2022-01-28
Ukraine,30245396,5,2022-01-28
"United States",536766297,3,2022-01-28
Uruguay,5576002,3,2022-01-28
Argentina,88167557,6,2022-01-29
Chile,33971848,4,2022-01-29
Czechia,17025187,4,2022-01-29
"European Union",802849689,9,2022-01-29
France,136462978,4,2022-01-29
Germany,165085543,5,2022-01-29
"Hong Kong",11078826,2,2022-01-29
Iceland,58240,4,2022-01-29
Italy,115463281,3,2022-01-29
Latvia,2521717,3,2022-01-29
Peru,56279409,3,2022-01-29
Romania,15554518,3,2022-01-29
