country;total_vaccinations;Date;vaccine
Argentina;25634649;13/02/2022;Oxford/AstraZeneca
Argentina;5660397;13/02/2022;Moderna
Argentina;505547;13/02/2022;CanSino
Argentina;20059781;12/02/2022;Sputnik V
Argentina;27650536;12/02/2022;Sinopharm/Beijing
Argentina;12079810;12/02/2022;Pfizer/BioNTech
Argentina;25634256;12/02/2022;Oxford/AstraZeneca
Argentina;5644186;12/02/2022;Moderna
Argentina;504372;12/02/2022;CanSino
Argentina;20042675;11/02/2022;Sputnik V
Argentina;27634278;11/02/2022;Sinopharm/Beijing
Argentina;12017237;11/02/2022;Pfizer/BioNTech
Argentina;25633487;11/02/2022;Oxford/AstraZeneca
Argentina;5619757;11/02/2022;Moderna
Argentina;502854;11/02/2022;CanSino
Argentina;20013486;10/02/2022;Sputnik V
Argentina;27597436;10/02/2022;Sinopharm/Beijing
Argentina;11893167;10/02/2022;Pfizer/BioNTech
Argentina;25628749;10/02/2022;Oxford/AstraZeneca
Argentina;5581162;10/02/2022;Moderna
Argentina;497305;10/02/2022;CanSino
Argentina;19981238;09/02/2022;Sputnik V
Argentina;27554431;09/02/2022;Sinopharm/Beijing
Argentina;11755333;09/02/2022;Pfizer/BioNTech
Argentina;25624472;09/02/2022;Oxford/AstraZeneca
Argentina;5538581;09/02/2022;Moderna
Argentina;491474;09/02/2022;CanSino
Argentina;19951961;08/02/2022;Sputnik V
Argentina;27510865;08/02/2022;Sinopharm/Beijing
Argentina;11591656;08/02/2022;Pfizer/BioNTech
Argentina;25619456;08/02/2022;Oxford/AstraZeneca
Argentina;5488802;08/02/2022;Moderna
Argentina;484469;08/02/2022;CanSino
Argentina;19916698;07/02/2022;Sputnik V
Argentina;27465398;07/02/2022;Sinopharm/Beijing
Argentina;11468757;07/02/2022;Pfizer/BioNTech
Argentina;25613892;07/02/2022;Oxford/AstraZeneca
Argentina;5434727;07/02/2022;Moderna
Argentina;477971;07/02/2022;CanSino
Argentina;19880388;06/02/2022;Sputnik V
Argentina;27421438;06/02/2022;Sinopharm/Beijing
Argentina;11335094;06/02/2022;Pfizer/BioNTech
Argentina;25608942;06/02/2022;Oxford/AstraZeneca
Argentina;5376004;06/02/2022;Moderna
Argentina;471020;06/02/2022;CanSino
Argentina;19868356;05/02/2022;Sputnik V
Argentina;27411713;05/02/2022;Sinopharm/Beijing
Argentina;11290457;05/02/2022;Pfizer/BioNTech
Argentina;25608287;05/02/2022;Oxford/AstraZeneca
Argentina;5352491;05/02/2022;Moderna
Argentina;470465;05/02/2022;CanSino
Argentina;19851940;04/02/2022;Sputnik V
Argentina;27396208;04/02/2022;Sinopharm/Beijing
Argentina;11225368;04/02/2022;Pfizer/BioNTech
Argentina;25606912;04/02/2022;Oxford/AstraZeneca
Argentina;5318406;04/02/2022;Moderna
Argentina;468481;04/02/2022;CanSino
Argentina;19808886;03/02/2022;Sputnik V
Argentina;27352614;03/02/2022;Sinopharm/Beijing
Argentina;11075905;03/02/2022;Pfizer/BioNTech
Argentina;25601603;03/02/2022;Oxford/AstraZeneca
Argentina;5247295;03/02/2022;Moderna
Argentina;461436;03/02/2022;CanSino
Argentina;19773628;02/02/2022;Sputnik V
Argentina;27311599;02/02/2022;Sinopharm/Beijing
Argentina;10953577;02/02/2022;Pfizer/BioNTech
Argentina;25596607;02/02/2022;Oxford/AstraZeneca
Argentina;5179448;02/02/2022;Moderna
Argentina;455234;02/02/2022;CanSino
Argentina;19732841;01/02/2022;Sputnik V
Argentina;27268000;01/02/2022;Sinopharm/Beijing
Argentina;10830805;01/02/2022;Pfizer/BioNTech
Argentina;25589685;01/02/2022;Oxford/AstraZeneca
